generated_query,device_info,language
"ಒಂದೇ ಸಲ ಲಾಂಡ್ರಿ ದೊಡ್ಡ ಪ್ರಮಾಣದಲ್ಲಿ ಹಾಕು, ಟಿವಿಯಲ್ಲಿ ಹಾಟ್‌ಸ್ಟಾರ್ ತೆರೆ, ಫ್ಯಾನ್ ಆಫ್ ಮಾಡು ಮತ್ತು ಫ್ರಿಡ್ಜ್‌ನ ಡೋರ್ ಅಲಾರಂ ಆಫ್ ಮಾಡು.","[{'device': 'washer', 'mode': 'SmallLoad', 'args': {'load_size': 'large'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'openApp', 'args': {'appName': 'Hotstar'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'DoorAlarm', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Kannada (Kannada Script)
"એસી નું ચાઇલ્ડલોક ચાલુ કરો, પછી ટીવી નું મેનુ, વોશર નું સ્પીન ઓન્લી, માઇક્રોવેવ નું ફેવરિટ અને ફ્રીજ નું પાવરકૂલ એકસાથે શરૂ કરો.","[{'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SpinOnly', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'PowerCool', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Gujarati (Gujarati Script)
مائیکروویو کو آٹو کک پر چلائیں، اور اس کے بعد فریج کو ویکیشن موڈ پر لگا دیں۔,"[{'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'VacationMode', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Urdu (Nastaliq)
"Entertainment fast forward kar, mag laundry eco normal chalu kar. Fridge cha door alarm chalu thev ani fan band kar. Tyach barobar kapde ধোणे shirt saathi chalu kar, don shirts takun.","[{'device': 'tv', 'mode': 'playback', 'args': {'action': 'fastForward'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'EcoNormal', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'DoorAlarm', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Bedding', 'args': {'item_type': 'shirt', 'load_size': 2}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Marathi (Latin)
"Microwave, run favorite.","[{'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",English (Latin)
microwave ne deodorize koro.,"[{'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': True}]",Romanised Gujarati (Latin)
Turn on the fan and turn off the fridge's child lock.,"[{'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",English (Latin)
"first geLi band maaDu, aamele ogeyuvudannu shuru maaDu, adara nantara cooling swayam temiz maadi, konege baLaseyuvudannu normal delicate mele haaki.","[{'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'PowerRinse', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'SelfClean', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Normal', 'args': {'fabric_type': 'delicate'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Kannada (Latin)
"Pankho bandh karo ane microwave ane fridge chalu karo. Pachhi, laundry SteamSanitize koro colorfast ane light soil sathe, ane pachi cooling AirPurify koro.","[{'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'AutoCook', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'AIRefrigeration', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SteamSanitize', 'args': {'colorfast': True, 'soil_level': 'light'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'AirPurify', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Gujarati (Latin)
"ഗൈഡ് കാണിക്കുമ്പോൾ തന്നെ ഫ്രിഡ്ജിന്റെ ഡിസ്പ്ലേയുടെ തെളിച്ചം 4 ആക്കുക, അതിനു ശേഷം ഫാൻ ഓട്ടോ മോഡിൽ ഇടുക.","[{'device': 'tv', 'mode': 'guide', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'DisplayBrightness', 'args': {'level': 4}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Malayalam (Malayalam Script)
"ফ্রিজের তাপমাত্রা উনিশ ডিগ্রি করো, তারপর ওয়াশারে ডার্ক রঙের ডেনিম চালাও।","[{'device': 'fridge', 'mode': 'SetFridgeTemp', 'args': {'temperature': 19}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Denim', 'args': {'color_shade': 'dark'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Bengali (Bangla)
"ഫാൻ ഓട്ടോ മോഡിൽ ആക്കു, എസി ഓട്ടോ മോഡിൽ ആക്കു, മൈക്രോവേവ് ഡിയോഡറൈസ് ചെയ്യാൻ വെക്കു, വാഷർ പവർ റിൻസ് ചെയ്യാൻ വെക്കു.","[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'Auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'PowerRinse', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",Malayalam (Malayalam Script)
"Laundry sanitize pannungo, fan speed aethungo, convection-la microwave-a 800 watts-la 26 nimisham podungo, appuram spin-only washer-a start pannungo.","[{'device': 'dryer', 'mode': 'Sanitize', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'up'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'Convection', 'args': {'watts': 800, 'time': 26.0}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SpinOnly', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
"Entertainment lo guide open cheyyi, tarvata cooling swing on cheyyi, appudu shirts dry cheyyi.","[{'device': 'tv', 'mode': 'guide', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Swing', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Shirts', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Telugu (Latin)
"Pehle fridge ka child lock on karo, aur saath hi AC ki humidity control shuru karo.","[{'device': 'fridge', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'HumidityControl', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Urdu (Latin)
"ਏ ਸੀ ਦੀ ਸਪੀਡ ਤੇਜ਼ ਕਰੋ ਅਤੇ ਫਰਿੱਜ ਵਿੱਚ ਏ ਆਈ ਰੈਫ੍ਰਿਜਰੇਸ਼ਨ ਚਾਲੂ ਕਰੋ, ਫੇਰ ਵਾਸ਼ਰ ਵਿੱਚ ਹੈਵੀ ਡਿਊਟੀ ਸਾਈਕਲ ਸ਼ੁਰੂ ਕਰੋ, ਉਸ ਤੋਂ ਬਾਅਦ ਟੀਵੀ ਨੂੰ ਰੀਵਾਈਂਡ ਕਰੋ।","[{'device': 'ac', 'mode': 'FanSpeed', 'args': {'speed': 'high'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'HeavyDuty', 'args': {'soil_level': 'normal'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'playback', 'args': {'action': 'rewind'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'AIRefrigeration', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Punjabi (Gurmukhi)
"Fan ah off pannu, appuram activewear-ku laundry start pannu, udane fridge water filter reset pannu.","[{'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Activewear', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'WaterFilterReset', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
"pahile heating চালু kara, nanthar کپडे वाळवणारी मशीन 83 मिनिटांसाठी चालू करा.","[{'device': 'ac', 'mode': 'Heat', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'TimeDry', 'args': {'duration': 83}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Marathi (Latin)
"Entertainment ki information do, aur phir kapray sukhane ke baad smart grid chalao.","[{'device': 'tv', 'mode': 'info', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Activewear', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'SmartGrid', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Urdu (Latin)
"Cooling child lock on pannu, apparam fan auto mode la podu, aduthu dryer la time dry 117 nimishamuku koro.","[{'device': 'ac', 'mode': 'ChildLock', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'TimeDry', 'args': {'duration': 117}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
AC fast cool koro.,"[{'device': 'ac', 'mode': 'FastCool', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': True}]",Romanised Marathi (Latin)
"Microwave-ta favorite koro, fan auto mode-e dao, cooling quiet koro, entertainment-ta exit koro, ar dryer-e synthetic fabric perm press koro.","[{'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Quiet', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'exit', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'PermPress', 'args': {'fabric_type': 'synthetic'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Bengali (Latin)
"Pehle dryer ko AirFluff koro, aur saath mein cooling ko Quiet mode pe set koro. Phir fan ko band koro. Uske baad laundry mein Normal cycle chalao, mixed load aur heavy soil ke saath. Aur fridge ko SelfClean koro.","[{'device': 'dryer', 'mode': 'AirFluff', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Quiet', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Normal', 'args': {'load_type': 'mixed', 'soil_level': 'heavy'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'SelfClean', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Hindi (Latin)
"first fan auto maadbeku, aamele activewear mele laundry shuru maadbeku.","[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Activewear', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Kannada (Latin)
"Laundry activewear-la podu, appuram fan-ah auto-le vai.","[{'device': 'dryer', 'mode': 'Activewear', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Tamil (Latin)
"Pehlan microwave ch 9 minute lai soften koro, phir fan auto te lao, te phir cooling swing on kardo.","[{'device': 'microwave', 'mode': 'Soften', 'args': {'time': 9.0}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Swing', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Punjabi (Latin)
روشنی چلاؤ، اور ساتھ ہی ٹی وی کی آواز کھولو۔,"[{'device': 'ac', 'mode': 'DisplayLight', 'args': {'status': 'on'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'volume', 'args': {'direction': 'unmute'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Urdu (Nastaliq)
"ফ্রিজের এনার্জি সেভিং মোড ৩৩ মিনিটের জন্য চালাও এবং একই সাথে টিভিতে লাইভ স্পোর্টস খোঁজ করো, তারপর ওয়াশিং মেশিনে স্টিম নরমাল শুরু করো।","[{'device': 'fridge', 'mode': 'EnergySavingMode', 'args': {'duration': 33}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'SteamNormal', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'search', 'args': {'input': 'live sports'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Bengali (Bangla)
Kapde valavane chalu kara ani entertainment pause kara.,"[{'device': 'dryer', 'mode': 'SmallLoad', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'playback', 'args': {'action': 'pause'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Marathi (Latin)
"Laundry ko EcoCold par light soil level ke saath chalao, fridge ka ice maker band karo, pankha band karo, dryer ko HeavyDuty wrinklefree par set karo, aur cooling ko Dehumidify mode mein chalao.","[{'device': 'washer', 'mode': 'EcoCold', 'args': {'soil_level': 'light'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'IceMaker', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'power', 'args': {'state': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'HeavyDuty', 'args': {'fabric_type': 'wrinklefree'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Dehumidify', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Hindi (Latin)
battalu aarubettadam shirts setting lo pettu.,"[{'device': 'dryer', 'mode': 'Shirts', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential', 'explicitly_mentioned': False}]",Romanised Telugu (Latin)
"फ़िल्टर साफ़ करो, और साथ ही 4 घंटे के लिए रिकॉर्डिंग शुरू करो।","[{'device': 'ac', 'mode': 'FilterClean', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'record', 'args': {'duration': 4}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Hindi (Devanagari)
"Microwave deodorize koro, fridge-madhye energy saving mode chalu theva 42 minute sathi, aani fan chi speed ek level ne kami kara. Te jhalyavar, washer-madhye wool fabric sathi heavy soil level var perm press chalu kara.","[{'device': 'microwave', 'mode': 'Deodorize', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'EnergySavingMode', 'args': {'duration': 42}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 1}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'PermPress', 'args': {'fabric_type': 'wool', 'soil_level': 'heavy'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Marathi (Latin)
"Pankhar speed kom koro, cooling sleep mode-e dao, fridge-er vacation mode chalu koro, dryer activewear-e set koro, ebong entertainment menu kholo.","[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'decrease by', 'level': 2}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Sleep', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'VacationMode', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'Activewear', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}, {'device': 'tv', 'mode': 'menu', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Romanised Bengali (Latin)
"Dryer rack dry kelya nantarr, fridge cha water filter reset kar ani tyach veli washer light color denim mode madhe chalu kar.","[{'device': 'dryer', 'mode': 'RackDry', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'WaterFilterReset', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'washer', 'mode': 'Denim', 'args': {'color_shade': 'light'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Marathi (Latin)
"Fridge door alarm on cheyyi, tarvata synthetic vadilesaka dryer lo perm press koro, tarvata microwave lo 11.5 nimishalu quick defrost koro.","[{'device': 'fridge', 'mode': 'DoorAlarm', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'PermPress', 'args': {'fabric_type': 'synthetic'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'microwave', 'mode': 'QuickDefrost', 'args': {'time': 11.5}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Romanised Telugu (Latin)
"விசிறியை தானியக்கமாக்கி, பிறகு சலவை இயந்திரத்தை வண்ணங்களுக்கு போடுங்கள்.","[{'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Colors', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Tamil (Tamil Script)
"Dryer ne WrinkleAway mode par item_count 3 ane duration 83 minute mate chalu karo, pachi AC nu AirPurify mode shuru karo, ane fridge nu DoorAlarm bandh karo ane TV ni mahiti jovo, ane microwave ne Favorite mode ma chalu karo.","[{'device': 'dryer', 'mode': 'WrinkleAway', 'args': {'item_count': 3, 'duration': 83}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'AirPurify', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'DoorAlarm', 'args': {'status': 'off'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'tv', 'mode': 'info', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'microwave', 'mode': 'Favorite', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Gujarati (Latin)
"Pehle fan ki speed 2 level barhao, aur fridge ko SmartGrid mode pe chalao aur AC ki display light on karo.","[{'device': 'fan', 'mode': 'speed', 'args': {'action': 'increase by', 'level': 2}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'fridge', 'mode': 'SmartGrid', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}, {'device': 'ac', 'mode': 'DisplayLight', 'args': {'status': 'on'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': True}]",Romanised Urdu (Latin)
"પહેલાં તો પ્લેબેક રિવાઇન્ડ કરો, પછી ફ્રીજનું વોટર ફિલ્ટર રીસેટ કરો, અને તે જ સમયે વોશિંગ મશીન માં ટુવાલ ચલાવો. પછી ડ્રાયરમાંથી કરચલીઓ દૂર કરવા માટે ૧૨ મિનિટ માટે ૨ વસ્તુઓ નાખો.","[{'device': 'tv', 'mode': 'playback', 'args': {'action': 'rewind'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fridge', 'mode': 'WaterFilterReset', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'washer', 'mode': 'Towels', 'args': None, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'dryer', 'mode': 'WrinkleAway', 'args': {'item_count': 2, 'duration': 12}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",Gujarati (Gujarati Script)
"Start SteamSanitize on the laundry while the fan goes to auto, then turn off the AC swing.","[{'device': 'dryer', 'mode': 'SteamSanitize', 'args': {'load_status': 'partial_wet'}, 'execution_type': 'concurrent', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'fan', 'mode': 'auto', 'args': None, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}, {'device': 'ac', 'mode': 'Swing', 'args': {'status': 'off'}, 'execution_type': 'sequential', 'task_type': 'Sequential and Concurrent', 'explicitly_mentioned': False}]",English (Latin)
ڈرائر کو ڈیلییکیٹ کپڑوں پر ہیوی ڈیوٹی موڈ پر چلاؤ۔,"[{'device': 'dryer', 'mode': 'HeavyDuty', 'args': {'fabric_type': 'delicate'}, 'execution_type': 'concurrent', 'task_type': 'Concurrent', 'explicitly_mentioned': False}]",Urdu (Nastaliq)
